epoch,loss
1,1.14266
2,0.827882
3,0.652139
4,0.491063
5,0.428428
6,0.390432
7,0.361871
8,0.339729
9,0.322114
10,0.310062
11,0.295214
12,0.28521
13,0.27659
14,0.267012
15,0.260638
16,0.252669
17,0.250647
18,0.244841
19,0.241992
20,0.23788
21,0.233844
22,0.230153
23,0.22809
24,0.224282
25,0.221767
26,0.220072
27,0.218278
28,0.215662
29,0.213521
30,0.211024
31,0.20938
32,0.20754
33,0.206083
34,0.204999
35,0.203355
36,0.200704
37,0.200388
38,0.197374
39,0.198686
40,0.196633
41,0.194428
42,0.194249
43,0.191575
44,0.19198
45,0.189665
46,0.188702
47,0.187827
48,0.188426
49,0.18622
50,0.186778
51,0.183985
52,0.182968
53,0.182401
54,0.181136
55,0.179555
56,0.181074
57,0.177791
58,0.177619
59,0.177628
60,0.176792
61,0.17663
62,0.176199
63,0.173547
64,0.173773
65,0.174206
66,0.171273
67,0.172476
68,0.171403
69,0.168628
70,0.169972
71,0.170192
72,0.168478
73,0.16826
74,0.16817
75,0.167888
76,0.166166
77,0.162755
78,0.165362
79,0.164456
80,0.163553
81,0.163996
82,0.162635
83,0.161667
84,0.162983
85,0.161026
86,0.160492
87,0.159295
88,0.158502
89,0.15909
90,0.158761
91,0.156759
92,0.157342
93,0.157295
94,0.156612
95,0.153997
96,0.156228
97,0.153576
98,0.154247
99,0.152942
100,0.151976
101,0.152171
102,0.151231
103,0.150962
104,0.149917
105,0.14889
106,0.148963
107,0.148702
108,0.14825
109,0.148321
110,0.147121
111,0.147073
112,0.145312
113,0.144697
114,0.144969
115,0.143672
116,0.14329
117,0.143586
118,0.142913
119,0.143198
120,0.141513
121,0.141536
122,0.140208
123,0.140828
124,0.140663
125,0.137105
126,0.138848
127,0.136888
128,0.136926
129,0.136648
130,0.137615
131,0.136244
132,0.13628
133,0.13521
134,0.134659
135,0.133859
136,0.134398
137,0.132109
138,0.132438
139,0.131031
140,0.132424
141,0.131417
142,0.131298
143,0.13021
144,0.130161
145,0.129662
146,0.129024
147,0.128926
148,0.128209
149,0.127622
150,0.126048
151,0.128177
152,0.126316
153,0.126118
154,0.124965
155,0.123739
156,0.123545
157,0.125043
158,0.124271
159,0.122476
160,0.123563
161,0.122745
162,0.123115
163,0.121407
164,0.123203
165,0.120885
166,0.120736
167,0.120822
168,0.120113
169,0.12002
170,0.119382
171,0.118281
172,0.118863
173,0.117248
174,0.118543
175,0.117737
176,0.117059
177,0.116439
178,0.11503
179,0.116109
180,0.116163
181,0.115085
182,0.115662
183,0.11315
