epoch,loss
184,0.1147
185,0.11542
186,0.112232
187,0.112486
188,0.112421
189,0.11159
190,0.112399
191,0.113113
192,0.112384
193,0.111061
194,0.1108
195,0.109663
196,0.110561
197,0.110375
198,0.109715
199,0.109444
200,0.109495
201,0.10938
202,0.109338
203,0.108345
204,0.109206
205,0.107588
206,0.108006
207,0.10781
208,0.106956
209,0.107108
210,0.106447
211,0.106026
212,0.106157
213,0.106416
214,0.10557
215,0.105532
216,0.104671
217,0.104533
218,0.104229
219,0.1049
220,0.103241
221,0.104669
222,0.104712
223,0.102681
224,0.103373
225,0.103457
226,0.102439
227,0.102326
228,0.101385
229,0.101996
230,0.102426
231,0.100982
232,0.102366
233,0.0999827
234,0.101752
235,0.101174
236,0.0999744
237,0.100479
238,0.0994381
239,0.100955
240,0.099902
241,0.0999674
242,0.0996128
243,0.0994714
244,0.0980911
245,0.0982487
246,0.0989722
247,0.0984893
248,0.098665
249,0.0979802
250,0.0974713
251,0.0961188
252,0.0970027
253,0.0972528
254,0.0959848
255,0.0966987
256,0.0968467
257,0.0954075
258,0.0946121
259,0.0941612
260,0.0961828
261,0.095926
262,0.0947584
263,0.094894
264,0.0935216
265,0.0958297
266,0.0942688
267,0.0946786
268,0.0938609
269,0.0921324
270,0.093343
271,0.0920338
272,0.0926286
273,0.0935093
274,0.0919584
275,0.0924673
276,0.0922895
277,0.0921757
278,0.0920032
279,0.091965
280,0.0913654
281,0.0920979
282,0.090596
283,0.0896748
284,0.0913077
285,0.0909614
286,0.0905995
287,0.0900868
288,0.0885236
289,0.0897009
290,0.0904152
291,0.0891157
292,0.0890636
293,0.0888524
294,0.0886314
295,0.088137
296,0.0882939
297,0.0883395
298,0.0869871
299,0.0878319
300,0.0872883
301,0.0883755
302,0.0874525
303,0.0865331
304,0.087331
305,0.0868458
306,0.0873771
307,0.0865838
308,0.0862002
309,0.0849724
310,0.0850835
311,0.0859777
312,0.0853216
313,0.0856145
314,0.0839135
315,0.0852083
316,0.084631
317,0.0850172
318,0.0845095
319,0.0848444
320,0.0851985
321,0.0834098
322,0.0825628
323,0.0828445
324,0.0828119
325,0.0830305
326,0.0827682
327,0.0827007
328,0.0820248
329,0.0840154
330,0.0825245
331,0.082244
332,0.0825239
333,0.0819515
334,0.0817445
335,0.0826311
336,0.081809
337,0.081627
338,0.081272
339,0.0818041
340,0.0811153
341,0.0817754
342,0.0807894
343,0.0810198
344,0.0815421
345,0.0800895
346,0.0794549
347,0.0814139
348,0.080493
349,0.0803526
350,0.0800674
351,0.0795284
352,0.0786708
353,0.0798433
354,0.0796103
355,0.0794513
356,0.0791056
357,0.078998
358,0.0787551
359,0.0784881
360,0.0785603
361,0.0776995
362,0.0786773
363,0.0774565
364,0.0784724
365,0.0778629
366,0.0783279
367,0.0781612
368,0.0767802
369,0.0774709
370,0.0777335
371,0.077237
372,0.0777682
373,0.0762772
374,0.0767173
375,0.0774554
376,0.0755898
377,0.0771314
378,0.0767207
379,0.0761591
380,0.0768682
381,0.0760679
382,0.075404
383,0.0761502
384,0.0751164
385,0.0758763
386,0.0747311
387,0.0742021
388,0.0753257
389,0.0759013
390,0.0749189
391,0.0739488
392,0.0735589
393,0.0751059
394,0.0743088
395,0.0735701
396,0.0746768
397,0.0737428
398,0.0740404
399,0.0752333
400,0.0746162
401,0.0731465
402,0.0728748
403,0.0746472
404,0.074667
405,0.071937
406,0.0726688
407,0.0743091
408,0.072912
409,0.0736372
410,0.073158
411,0.0720757
412,0.072552
413,0.0720912
414,0.0708692
415,0.0715249
416,0.0730831
417,0.0727482
418,0.0714565
419,0.0724302
420,0.0722421
421,0.072339
422,0.0715239
423,0.0719844
424,0.0715429
425,0.0725877
426,0.0702427
427,0.0719504
428,0.0707154
429,0.0713123
430,0.0707451
431,0.0711945
432,0.0708751
433,0.0704511
434,0.0695188
435,0.0708701
436,0.0711239
437,0.0699765
438,0.0699874
439,0.0707939
440,0.0687684
441,0.0701433
442,0.0708433
443,0.0680094
444,0.070923
445,0.0699955
446,0.0686458
447,0.0695341
448,0.0679522
449,0.0697252
450,0.0681708
451,0.0697495
452,0.0677386
453,0.0684013
454,0.0674087
455,0.0690166
456,0.0675547
457,0.068033
458,0.0679632
459,0.0684586
460,0.0673026
461,0.0674781
462,0.067007
463,0.0660394
464,0.0679276
465,0.0680588
466,0.067861
467,0.0662257
468,0.0676539
469,0.0670759
470,0.0662018
471,0.0671656
472,0.0667727
473,0.0655974
474,0.0660128
475,0.0664096
476,0.0662878
477,0.0669548
478,0.0666743
479,0.0651878
480,0.0660412
481,0.0664403
482,0.06506
483,0.0651207
484,0.0653063
485,0.0650426
486,0.0653949
487,0.0655162
488,0.0650165
489,0.0646261
490,0.0632285
491,0.0654232
492,0.0645968
493,0.0657466
494,0.0652054
495,0.0652157
496,0.0643294
497,0.0637686
498,0.0647534
499,0.0639345
500,0.0638836
